file:///abnl/?adsdata=qOiEh23BgSiGG21adVLzVDIw6Btq8p^TRRxJm3YG2EtFnT3EFEclv!2TSYLHyx3TXOl8vupEB9haAQQy3xDl^8AvcvZJBt4jYiWfHQ9o			URL is not valid
file:///abnl/?adsdata=1VrEWO34EM;993RADCxry;v0Pu7Tb8gYmEXBCRZn2ZtaFMXufHCbcMsGAHFVV;y;4JZ44QgqtzqAXyL6VuxIPybuCCHAvj455jH3			URL is not valid
http://localhost/			URL is not valid
file:///abnl/?adsdata=mANQ6Pjqr7;h7NTVSD5^D2ajR77u2qA!v74ycYukpNt9ykWM341wHXD6Uf!vqmL;v6GIT^6T2zaBSuxVxELl!qXejjrmP7ZbiuYfzVbc			URL is not valid
http://distrimedia.be/clik.php	0	63	2015-09-11 17:43:26	
http://51041846.de.strato-hosting.eu/Farben/esd.php	0	37	2013-03-30 14:58:04	
http://fwlyzyui.cz.cc/count18.php	5	67	2016-06-07 04:33:43	Websense ThreatSeeker:malicious site AutoShun:malicious site Sophos:malicious site Yandex Safebrowsing:malware site Fortinet:malware site
http://ihulypzi.ru/count12.php	3	68	2016-07-11 08:54:11	Kaspersky:malware site Websense ThreatSeeker:malicious site Sucuri SiteCheck:malicious site
http://tutproba.com/trunk?3	2	33	2013-01-12 00:46:44	Google Safebrowsing:malware site Sophos:malicious site
http://nnzgysxd.cz.cc/count16.php	4	67	2016-06-07 04:28:27	Websense ThreatSeeker:malicious site AutoShun:malicious site Sophos:malicious site Yandex Safebrowsing:malware site
http://www.arrowsearch.com/cnt.php	0	39	2013-09-13 06:23:13	
http://cbkjeoof.cz.cc/count18.php	5	67	2016-06-04 12:28:14	Dr.Web:malicious site Websense ThreatSeeker:malicious site Sophos:malicious site Yandex Safebrowsing:malware site Fortinet:malware site
http://ftp.go2holiday.net/incomingFTP/clik.php	1	68	2016-09-06 17:26:50	Fortinet:malware site
http://scaraori.com/count9.php	6	66	2017-07-21 11:26:23	Sangfor:malware site Kaspersky:malware site Dr.Web:malicious site Avira:malware site Sophos:malicious site Yandex Safebrowsing:malware site
http://israelfl.hostzi.com/rel.php	1	67	2016-06-08 03:12:02	Dr.Web:malicious site
http://beko.az/count.php	0	63	2015-08-25 11:55:35	
http://tejuxiv.ru/count2.php	7	65	2017-08-28 06:58:16	Google Safebrowsing:malware site Kaspersky:malware site Avira:malware site Sophos:malicious site Yandex Safebrowsing:malware site Sucuri SiteCheck:malicious site Fortinet:malware site
http://mareop922we.cu.cc/i/ftpvecher29	3	68	2016-11-15 02:28:56	Kaspersky:malware site Dr.Web:malicious site AutoShun:malicious site
http://zlalictr.cz.cc/count17.php	4	67	2016-06-09 15:17:04	Websense ThreatSeeker:malicious site AutoShun:malicious site Sophos:malicious site Yandex Safebrowsing:malware site
http://businesspaard.nl/wp-includes/traf.php	2	60	2014-11-04 17:24:41	Dr.Web:malicious site Fortinet:malware site
http://fatguysfood.com/_vti_bin/dtd.php	3	57	2014-07-19 16:49:57	Google Safebrowsing:malware site Sophos:malicious site Fortinet:malware site
http://wrtetrxh.ce.ms/count13.php	6	68	2016-07-23 02:47:41	Kaspersky:malware site AutoShun:malicious site Avira:malware site SCUMWARE.org:malware site Sophos:malicious site Fortinet:malware site
http://iwahroq.ru/count6.php	5	65	2017-08-14 05:09:39	Kaspersky:malware site Sophos:malicious site Yandex Safebrowsing:malware site Sucuri SiteCheck:malicious site Fortinet:malware site
http://deangrzelak.com/wp-includes/rel.php	1	58	2014-08-20 09:25:23	Fortinet:malware site
http://dv-suedpfalz.de/melde/dtd.php	3	68	2016-08-11 18:44:19	Dr.Web:malicious site Websense ThreatSeeker:malicious site Fortinet:malware site
http://dybumzmi.cz.cc/count23.php	4	65	2017-06-28 07:30:32	Websense ThreatSeeker:malicious site Sophos:malicious site Yandex Safebrowsing:malware site Fortinet:malware site
http://idadxal.net/count22.php	2	68	2016-10-12 10:32:54	BitDefender:malware site Avira:malware site
http://gxjamuwp.cz.cc/count15.php	5	67	2016-06-09 15:50:15	Websense ThreatSeeker:malicious site AutoShun:malicious site Sophos:malicious site Yandex Safebrowsing:malware site Fortinet:malware site
http://pinkcontact.net/clicker.php	0	67	2016-06-08 16:07:00	
http://rkieadjjtm.ce.ms/count13.php	3	67	2016-07-02 13:07:40	AutoShun:malicious site Avira:malware site Sophos:malicious site
http://dimabilanch.ru:8080/forum/links/column.php	1	67	2016-06-01 07:50:26	Websense ThreatSeeker:malicious site
http://khkxdiat.cz.cc/count23.php	5	67	2016-06-10 02:22:14	Websense ThreatSeeker:malicious site AutoShun:malicious site Sophos:malicious site Yandex Safebrowsing:malware site Fortinet:malware site
http://ykqevax.ru/count3.php	4	65	2017-08-19 04:21:13	Kaspersky:malware site Sophos:malicious site Sucuri SiteCheck:malicious site Fortinet:malware site
http://viadelcampo.com/:/counter.php	1	68	2016-10-22 05:48:57	Sucuri SiteCheck:malicious site
http://ubbylys.ru/count28.php	6	67	2016-05-31 00:47:34	Kaspersky:malware site BitDefender:malware site Websense ThreatSeeker:malicious site Sophos:malicious site Yandex Safebrowsing:malware site Sucuri SiteCheck:malicious site
http://ecodomain.osa.pl/showthread.php?t=55152269	6	67	2016-06-07 19:47:22	Kaspersky:malware site BitDefender:malware site Dr.Web:malicious site Avira:malware site Sophos:malicious site Fortinet:malware site
http://fofficino.it/img/rel.php	0	68	2016-08-26 13:43:57	
http://kefrikin.ru:8080/forum/showthread.php?page=5fa58bce769e5c2c	2	68	2016-10-19 05:50:57	Websense ThreatSeeker:malicious site Sophos:malicious site
http://ywzjvqssv.myfw.us/t/vc.php?go=2	8	67	2016-06-10 08:06:03	Kaspersky:malware site BitDefender:malware site Websense ThreatSeeker:malicious site AutoShun:malicious site Sophos:malicious site Malware Domain Blocklist:malicious site Sucuri SiteCheck:malicious site Fortinet:malware site
http://frasselt-kalorama.nl/relay.php	2	68	2016-10-22 23:56:54	Sucuri SiteCheck:malicious site Fortinet:malware site
http://adriennvendeghaz.hu/counter.php	1	38	2013-05-01 21:29:06	Kaspersky:malware site
http://dixrkno.ce.ms/count13.php	4	67	2016-07-02 13:07:33	Kaspersky:malware site Avira:malware site Sophos:malicious site Fortinet:malware site
http://mskoblastionline.ru:8080/forum/showthread.php?page=5fa58bce769e5c2c	1	67	2016-05-29 04:58:13	Websense ThreatSeeker:malicious site
http://vcpwhzzi.cz.cc/count14.php	5	67	2016-06-09 15:41:40	Websense ThreatSeeker:malicious site AutoShun:malicious site Sophos:malicious site Yandex Safebrowsing:malware site Fortinet:malware site
http://ftp-security.com/mind/in.cgi?6	3	67	2016-05-25 18:10:21	Websense ThreatSeeker:malicious site Avira:malware site Fortinet:malware site
http://izjqlcww.ce.ms/count13.php	3	67	2016-06-13 03:43:07	AutoShun:malicious site Avira:malware site Sophos:malicious site
http://213.198.109.117/installationx/cnt.php	0	68	2016-10-22 02:35:16	
http://ypbwcqqg.cz.cc/count22.php	4	67	2016-05-28 10:06:44	Websense ThreatSeeker:malicious site AutoShun:malicious site Sophos:malicious site Yandex Safebrowsing:malware site
http://africanmangoextractdiet.org/BDQgWJ72.php	1	68	2016-12-23 10:42:21	ZeroCERT:malicious site
http://strokengordijnen24.nl/relay.php	1	64	2017-05-21 04:05:45	Sucuri SiteCheck:malicious site
http://llilbb.lflinkup.net/stats/ga.php	1	64	2017-06-06 03:56:36	Sophos:malicious site
http://bgxnaglv.cz.cc/count22.php	3	67	2016-05-28 08:18:39	Websense ThreatSeeker:malicious site Sophos:malicious site Yandex Safebrowsing:malware site
http://ziejpzrv.cz.cc/count24.php	10	67	2016-06-14 13:16:43	Kaspersky:malware site Dr.Web:malicious site Certly:malicious site Websense ThreatSeeker:malicious site AutoShun:malicious site ADMINUSLabs:malicious site malwares.com URL checker:malicious site Sophos:malicious site Yandex Safebrowsing:malware site Malware Domain Blocklist:malicious site
http://szef-kuchni-poleca.eu/wqWVB7kn.php	0	39	2013-05-22 05:29:47	
http://computerkeyboards101.com/wp-content/traf.php	0	68	2016-08-24 11:56:43	
http://gowfqzedvq.serveuser.com/counter/stats.php	1	64	2017-05-17 09:16:26	Sophos:malicious site
http://expert-buy.com/modules/mod_add/tYR163uT.php	1	68	2016-11-01 04:52:11	Dr.Web:malicious site
http://ikalvallarta.com/esd.php	2	52	2014-05-24 00:51:56	BitDefender:malware site Sucuri SiteCheck:malicious site
http://paseroper.in/in.cgi?default	2	39	2013-09-28 07:41:46	Kaspersky:malware site Sophos:malicious site
http://fortifyfit.com/cnt.php	0	68	2016-10-27 17:54:51	
http://rbllidyv.cz.cc/count16.php	5	67	2016-05-28 10:07:09	Dr.Web:malicious site Websense ThreatSeeker:malicious site AutoShun:malicious site Sophos:malicious site Yandex Safebrowsing:malware site
http://tonershop.com/esd.php	2	68	2016-10-27 16:52:26	Dr.Web:malicious site Fortinet:malware site
http://obieiichiko.xsrv.jp/count.php	1	68	2016-11-06 02:07:40	Sucuri SiteCheck:malicious site
