JS_IDX,domain,filename,src,y_lable
11,august.com,/mnt/sdb1/domcrawl/htmls/2/august.com,https://servedby.flashtalking.com/container/8127;72150;6462;iframe/?spotName=August_Micro_Homepage_iframe&cachebuster=958369.1387504287,
20,autoportal.ua,/mnt/sdb1/domcrawl/htmls/2/autoportal.ua,https://c.opinion.com.ua/?q=224738031573&p=120290&c=1&rnd=51097,
13,avis.com.tr,/mnt/sdb1/domcrawl/htmls/2/avis.com.tr,https://6144698.fls.doubleclick.net/activityi;src=6144698;type=avis;cat=avis-0;u5=[Site%20Name];u6=[transactionCurrency];u9=[User%20Login%20Status%20/%20is%20Preferred];u12=[Page%20Name];u13=[Brand];u14=[AWD];u15=[SmallBizAWD];u16=[Pick%20Up%20Location%20Country];u17=[pick%20up%20Location%20Code];u19=[Drop%20Off%20Location%20Country];u20=[Drop%20Off%20Location%20Mnemonic%20Code];u21=[Website%20Version/Platform];u22=[Page%20URL];u23=[Local%20Currency%20Price];u24=[Country%20Of%20Residence];u25=[Country%20Of%20Reservation];u26=[Site%20Country%20Language%20Preference];u27=[PickUp%20Date];u28=[Drop%20Off%20Date];u29=[Length%20of%20Rental];u30=[DaysBeforePickup];u31=[Distance];u34=[Enterprise%20ID];u35=[Commission%20Junction%20Type];u37=[Airport%20Flag%20Indicator];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=4714121832162.597?,
14,avis.com.tr,/mnt/sdb1/domcrawl/htmls/2/avis.com.tr,https://6144698.fls.doubleclick.net/activityi;src=6144698;type=aviso0;cat=avish0;u5=[Site%20Name];u9=[User%20Login%20Status%20/%20is%20Preferred];u12=[Page%20Name];u13=[Brand];u21=[Website%20Version/Platform];u22=[Page%20URL];u24=[Country%20Of%20Residence];u26=[Site%20Country%20Language%20Preference];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=1;num=2541947343165.929?,
16,avis.com.tr,/mnt/sdb1/domcrawl/htmls/2/avis.com.tr,https://6144698.fls.doubleclick.net/activityi;src=6144698;type=aviso0;cat=avisa0;u4=[Confirmation%20Number];u5=[Site%20Name];u6=[transactionCurrency];u9=[User%20Login%20Status%20/%20is%20Preferred];u10=[Car%20Make%20Model];u11=[Car%20Group];u12=[Page%20Name];u13=[Brand];u14=[AWD];u15=[SmallBizAWD];u16=[Pick%20Up%20Location%20Country];u17=[pick%20up%20Location%20Code];u18=[Payment%20Type];u19=[Drop%20Off%20Location%20Country];u20=[Drop%20Off%20Location%20Mnemonic%20Code];u21=[Website%20Version/Platform];u22=[Page%20URL];u23=[Local%20Currency%20Price];u24=[Country%20Of%20Residence];u25=[Country%20Of%20Reservation];u26=[Site%20Country%20Language%20Preference];u27=[PickUp%20Date];u28=[Drop%20Off%20Date];u29=[Length%20of%20Rental];u30=[DaysBeforePickup];u31=[Distance];u32=[Availability];u33=[AWD%20Percentage%20Type];u34=[Enterprise%20ID];u35=[Commission%20Junction%20Type];u36=[Airline%20Name];u37=[Airport%20Flag%20Indicator];u38=[Transaction%20Revenue%20(EUR)];u39=[Transaction%20Revenue%20(USD)];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=8610559189631.861?,
12,bahisanaliz2.com,/mnt/sdb1/domcrawl/htmls/2/bahisanaliz2.com,http://bahisanaliz24.com/BaReklam/Flooting1000x50.html,
25,bandce.co.uk,/mnt/sdb1/domcrawl/htmls/2/bandce.co.uk,file://servedby.flashtalking.com/container/2745;44085;4999;iframe/?ft_referrer=file%3A///tmp/direct_run_without_condition.html&ns=&cb=983707.6324856533,
10,bankvic.com.au,/mnt/sdb1/domcrawl/htmls/2/bankvic.com.au,https://6236779.fls.doubleclick.net/activityi;src=6236779;type=rtg0;cat=rtg01;u1=[site%20brand];u2=[page%20path];u3=[crods%20id];u6=[product%20category];u7=[product];u8=[annual%20premium%20report];u9=[policy%20number];u11=[session%20id];u12=[transaction%20id];u13=[payment%20amount];u14=[payment%20method];u15=[monthly/yearly];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=1;num=6181493529493.718?,
11,baseballhall.org,/mnt/sdb1/domcrawl/htmls/2/baseballhall.org,https://4101632.fls.doubleclick.net/activityi;src=4101632;type=ip144337;cat=coope245;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=1763131448685.7974?,
12,baseballhall.org,/mnt/sdb1/domcrawl/htmls/2/baseballhall.org,https://4641331.fls.doubleclick.net/activityi;src=4641331;type=ip1440;cat=homep0;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=503896869270.9411?,
9,bcbsks.com,/mnt/sdb1/domcrawl/htmls/2/bcbsks.com,https://fls.doubleclick.net/activityi;src=3042219;type=homep789;cat=ka_ho865;u8=;u7=;u6=;u5=;u10=;u9=;u3=;u4=;u1=;u2=;ord=9308045472151.703?,
67,benihana.com,/mnt/sdb1/domcrawl/htmls/2/benihana.com,https://2976907.fls.doubleclick.net/activityi;src=2976907;type=benih736;cat=homep403;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=1;num=3156142722382.1113?,
47,beststl.com,/mnt/sdb1/domcrawl/htmls/2/beststl.com,file://event.realclick.co.kr/sp/setting.php?cm=MAIN&cic=pkg54570,
5,bindcloud.jp,/mnt/sdb1/domcrawl/htmls/2/bindcloud.jp,file://www.facebook.com/plugins/like.php?href=file%3A%2F%2F%2Ftmp%2Fdirect_run_without_condition.html&layout=button_count&action=like&show_faces=false&share=true&height=21&appId=283450958475872,
2,birdfa.com,/mnt/sdb1/domcrawl/htmls/2/birdfa.com,http://birdfa.com/,
6,birdfa.com,/mnt/sdb1/domcrawl/htmls/2/birdfa.com,http://birdfa.com/,
8,bjdclub.ru,/mnt/sdb1/domcrawl/htmls/2/bjdclub.ru,http://dollscar.bjdclub.com/sponsors/banner?width=620,
2,bl6.jp,/mnt/sdb1/domcrawl/htmls/2/bl6.jp,https://as.ebis.ne.jp/resolv.php?argument=sRrG93Nh&tag_id=tag5536444e8652f&width=300&height=250&alt_img=&alt_link=,
13,blackhawk.com,/mnt/sdb1/domcrawl/htmls/2/blackhawk.com,https://5771903.fls.doubleclick.net/activityi;src=5771903;type=tactical;cat=tacti0;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=4854834741288.483?,
23,brondby.com,/mnt/sdb1/domcrawl/htmls/2/brondby.com,https://4898337.fls.doubleclick.net/activityi;src=4898337;type=displ0;cat=betfa003;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=1;num=1060466022669.4884?,
12,bscapply.com,/mnt/sdb1/domcrawl/htmls/2/bscapply.com,https://1844680.fls.doubleclick.net/activityi;src=1844680;type=BSCA20;cat=BSCAp0;ord=1;num=9098442314740.453?,
26,bscycle.co.jp,/mnt/sdb1/domcrawl/htmls/2/bscycle.co.jp,file://www.facebook.com/plugins/like.php?href=file%3A%2F%2F%2Ftmp%2Fdirect_run_without_condition.html&width&layout=button&action=like&show_faces=false&share=false&height=35&appId=221569341300197,
1,bugilfoto.com,/mnt/sdb1/domcrawl/htmls/2/bugilfoto.com,http://disif.images.xtstatic.com/tp.gif,
21,bushnell.com,/mnt/sdb1/domcrawl/htmls/2/bushnell.com,https://5771903.fls.doubleclick.net/activityi;src=5771903;type=optics;cat=optic0;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=4820575392551.458?,
22,centralmarket.com,/mnt/sdb1/domcrawl/htmls/2/centralmarket.com,https://4922207.fls.doubleclick.net/activityi;src=4922207;type=gen;cat=homep0;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=1960896144850.1838?,
16,city2surf.com.au,/mnt/sdb1/domcrawl/htmls/2/city2surf.com.au,https://4565601.fls.doubleclick.net/activityi;src=4565601;type=landi0;cat=edh_a007;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=307266115488.27167?,
